x,y,z
0,0,1
0,24,1
0,48,1
0,72,1
24,1,1
24,24,1
24,48,1
24,72,1
48,0,1
48,24,1
48,48,1
48,72,1
72,0,1
72,24,1
72,48,1
72,72,1
96,0,1
96,24,1
96,48,1
96,72,1
