TABLE:  Beam Object Connectivity,,,,,,
Unique Name,Story,BeamBay,UniquePtI,UniquePtJ,Length,GUID
,,,,,ft,
155,Story2,B13,44,48,24,ad9645e0-dc64-4337-abec-c1e67082ff44
156,Story2,B14,48,52,24,0983d238-d34b-4238-874b-68b7814acb51
157,Story2,B15,52,56,24,4636fcdf-18e9-464e-a7db-bae12f5e3886
158,Story2,B16,56,60,24,ec5627e3-8811-4669-b63a-6ef67f4e6b29
159,Story2,B17,41,42,24,07f3bd7e-23be-4a18-b07d-8aeda78adf9a
160,Story2,B18,42,43,24,560fa78e-e3cc-4088-abd7-fa750c1c940b
161,Story2,B19,43,44,24,567a8ae0-35d5-42ec-ad10-0866ac50f678
162,Story2,B20,45,46,24,4797b1ed-bc20-40b9-b77e-a332cd83129c
163,Story2,B21,46,47,24,acf854df-618a-4ae6-8631-6454caae0a3a
164,Story2,B22,47,48,24,d7009e9d-6dfa-4b25-9e7c-76c94099036d
165,Story2,B23,49,50,24,3216157b-65c6-4ea0-ad16-fb337661a78a
166,Story2,B24,50,51,24,af0546da-8168-4fc8-a214-5fe0f88e25a8
167,Story2,B25,51,52,24,a5faf6a3-cbde-40f7-94ee-1038b2366a78
168,Story2,B26,53,54,24,1e28f514-27bf-4054-9fd9-0ea543884971
169,Story2,B27,54,55,24,aa30f991-a9f1-48e7-b0b0-49c79403e827
170,Story2,B28,55,56,24,53bfcbb2-94d0-4468-a6d3-05e10b189597
171,Story2,B29,57,58,24,411e6179-034a-40f7-810c-e728d5c6973b
172,Story2,B30,58,59,24,bef3f0d1-e070-41fe-b586-c666156f3309
173,Story2,B31,59,60,24,3246fc84-a28f-444d-a5f8-d66fdbe70684
174,Story1,B1,61,65,24,2642d37f-40a0-4b68-a73f-63b10d52f1a9
175,Story1,B2,65,69,24,ef98f93b-be5d-489e-95cc-60760c0d7dfb
176,Story1,B3,69,73,24,29029bdf-0787-4c88-b3a5-43e61c47f822
177,Story1,B4,73,77,24,e5cef33c-ef0e-4e8d-b139-b6952099f244
178,Story1,B5,62,66,24,095d1730-3409-4b23-a80a-bb778ff48b6b
179,Story1,B6,66,70,24,0300bd68-4c99-4cc8-ac7b-ed9952eebb4e
180,Story1,B7,70,74,24,ce931ba5-296f-498a-8f8e-46dc695bc12b
181,Story1,B8,74,78,24,b8d913c2-2c68-40c6-bb82-a2aea3eeef53
182,Story1,B9,63,67,24,2a4c58ea-a512-4d35-b161-23d6fe6a60ba
183,Story1,B10,67,71,24,814e3336-c57d-4402-9a1c-3ed17200fc3e
184,Story1,B11,71,75,24,57db95b2-cc75-43f9-a0eb-2c9b20f67160
185,Story1,B12,75,79,24,2656c8b1-3e90-46e4-b6b4-edbe2bb532ca
186,Story1,B13,64,68,24,c087b3a6-b309-495f-b850-f6c9cda1bada
187,Story1,B14,68,72,24,017177cc-6ff8-45a6-8066-fdb8c7a665e4
188,Story1,B15,72,76,24,e6719cd1-1ab6-4403-aab3-c642ddf88484
189,Story1,B16,76,80,24,953424ba-4e73-4173-af52-8c1d8d804889
190,Story1,B17,61,62,24,91ddd911-81bf-4a98-ab89-6f38f5f8ca87
191,Story1,B18,62,63,24,a4923418-2ea4-41c7-b118-617c5454f877
192,Story1,B19,63,64,24,852b76ae-c74b-470e-a793-c52eec21131b
193,Story1,B20,65,66,24,fd24c637-8f00-4b1d-8200-16c02bb4a5c9
194,Story1,B21,66,67,24,1d9d1a8c-33a9-43bb-a6d2-d9880524a871
195,Story1,B22,67,68,24,bc61818d-16c2-4ed0-b7e7-829dbd87bcf6
196,Story1,B23,69,70,24,4d8b2071-3614-4756-9e3c-d38fa58d3190
197,Story1,B24,70,71,24,42284a6d-7b5c-4c6b-9c3d-b7eef21b23f6
198,Story1,B25,71,72,24,b6e35304-81e0-4123-bb82-e0cf8f379b26
199,Story1,B26,73,74,24,9f48b0f0-b035-40ce-bc60-4a99b4bbb06e
200,Story1,B27,74,75,24,ff36641f-8fe5-4d8c-a3a7-9d538406bdf6
201,Story1,B28,75,76,24,e5779eab-74ea-4be6-994d-288c1feace1e
202,Story1,B29,77,78,24,a692eb0e-4b3d-44c0-9bf0-6dd980c5813c
203,Story1,B30,78,79,24,885f5dd9-7255-48c9-96b4-b69c566b6c00
204,Story1,B31,79,80,24,2178f768-0ee6-4beb-8be2-0eb4c8f31ca0
